ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City
1017.0,VW,JETTA,Jetta 2.0 TDI Comfort,Jetta 2.0 TDI Comfort,VW Jetta 2.0 TDI Comfort,E,2009,4,grau,154 g/km,3,5,5.8 l/100km,1968,Occasion,"""Ab MFK""",silber mét.,Vorderradantrieb,Automatisiertes Schaltgetriebe,33500,140,Limousine,Diesel,Zuzwil
1018.0,MERCEDES-BENZ,190,190 E 2.5-16 ABS,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS,null,1989,4,schwarz,null,1,5,null,2497,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,198000,195,Limousine,Benzin,Zuzwil
1019.0,WIESMANN,COUPE,GT MF5,GT MF5,WIESMANN GT MF5,G,2008,2,schwarz,null,7,2,14.1 l/100km,4999,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,34600,507,Coupé,Benzin,Zuzwil
102.0,PORSCHE,911,911 Turbo Cabrio,911 Turbo Cabrio,PORSCHE 911 Turbo Cabrio,G,2009,2,mehrfarbig,270 g/km,12,4,11.5 l/100km,3800,Occasion,"""Ab MFK"", ""Direkt-/Parallelimport""",blau mét.,Allrad,Automatisiertes Schaltgetriebe,52000,500,Cabriolet,Benzin,Zuzwil
1020.0,BMW,Z4,Z4 M Coupé,Z4 M Coupé,BMW Z4 M Coupé,G,2011,2,schwarz,292 g/km,8,2,12.1 l/100km,3246,Vorführmodell,"""Ab MFK"", ""Tuning""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,10900,343,Coupé,Benzin,Zuzwil
1021.0,RENAULT,Alpine A110,Alpine A110 1300S,1300S,RENAULT Alpine A110 1300S,null,1969,2,schwarz,null,9,0,null,1296,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,9999,0,Coupé,Benzin,Zuzwil
1022.0,MASERATI,COUPÉ GT,Coupé GT,Coupé GT,MASERATI Coupé GT,null,2002,2,braun,400 g/km,6,4,17.5 l/100km,4244,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatik-Getriebe,62300,390,Coupé,Benzin,Zuzwil
1023.0,RENAULT,ALPINE,ALPINE 1600 VF,1600 VF,RENAULT ALPINE 1600 VF,null,1976,2,schwarz,null,8,4,null,1605,Oldtimer,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,42940,140,Coupé,Benzin,Zuzwil
1024.0,AUDI,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,G,2002,4,grau,288 g/km,8,5,12.0 l/100km,4172,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat sequentiell,35100,335,Limousine,Benzin,Zuzwil
1025.0,CHEVROLET,CORVETTE,Corvette Z06,Corvette Z06,CHEVROLET Corvette Z06,G,2010,2,schwarz,350 g/km,3,2,14.7 l/100km,7011,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,24000,512,Coupé,Benzin,Zuzwil
1026.0,TOYOTA,COROLLA,Corolla 1600 GTi TC16,Corolla 1600 GTi TC16,TOYOTA Corolla 1600 GTi TC16,null,1986,3,schwarz,null,12,4,null,1587,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,101400,116,Coupé,Benzin,Zuzwil
1027.0,MERCEDES-BENZ,CLK 55 AMG,CLK 55 AMG Avantgarde,CLK 55 AMG Avantgarde,MERCEDES-BENZ CLK 55 AMG Avantgarde,G,2000,2,schwarz,281 g/km,6,4,11.7 l/100km,5439,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,79500,347,Coupé,Benzin,Zuzwil
