carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2011,31400,kilometer,Cls 63 Amg,CLS 63 AMG,,car,,5,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,25100,kilometer,Sl 320,SL 320,,car,,4,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,BMW,1995,119600,kilometer,750,750i,,car,,7,l/100km
Convertible / Roadster,Other,Occasion,CHF,,Zuzwil,CH,Audi,1996,120200,kilometer,Cabriolet,Cabriolet 2.8 E,,car,,7,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2008,49800,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,10,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1997,123400,kilometer,C 230,C 230 Elégance,,car,,2,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Lamborghini,2011,18000,kilometer,Gallardo,Gallardo LP570-4 Coupé SL,,car,,3,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,68800,kilometer,S 65 Amg,S 65 AMG L,,car,,8,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Renault,1977,39267,kilometer,Alpine A110,A5 Motor,,car,,5,
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1990,162000,kilometer,190,190 E 2.5-16 ABS,,car,,10,
Other,Blue,Occasion,CHF,,Zuzwil,CH,BMW,1974,7990,kilometer,2002,Turbo,,car,,1,
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Ford (Usa),2015,4300,kilometer,Mustang,5.0 GT Premium 50 Years,,car,,4,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Lamborghini,2009,7300,kilometer,Gallardo,Gallardo LP550-2 Cpé V.B.,,car,,9,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Porrentruy,CH,Ferrari,2007,53500,kilometer,F430,F430 Spider,,car,,6,l/100km
SUV,Other,Occasion,CHF,,Zuzwil,CH,Land Rover,2007,99900,kilometer,Range Rover,Range Rover 3.6 d HSE,,car,,2,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2001,116100,kilometer,Cl 500,CL 500,,car,,12,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Maserati,2009,Automat sequentiell,kilometer,Quattroporte,Quattroporte 4.7 S,,car,,2,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,BMW,2004,108500,kilometer,530,530d Touring,,car,,11,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,VW,2007,27000,kilometer,Eos,Eos 2.0 FSI T,,car,,9,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2004,62000,kilometer,A6,A6 4.2 V8 quattro,,car,,3,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1998,86900,kilometer,E 55 Amg,E 55 AMG Avantgarde,,car,,2,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Porsche,1999,34400,kilometer,911,911 Carrera Cabrio,,car,,1,l/100km
SUV,Blue,Occasion,CHF,,Zuzwil,CH,BMW,2004,86200,kilometer,X3,X3 3.0i,,car,,10,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Bmw-Alpina,2007,66800,kilometer,6 Series,B6 4.4 V8 Cabrio,,car,,4,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,BMW,1998,78700,kilometer,540,540i,,car,,11,l/100km
Convertible / Roadster,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,16500,kilometer,Sl 55 Amg,SL 55 AMG,,car,,6,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Porsche,2000,43400,kilometer,Boxster,Boxster S 3.2,,car,,4,l/100km
Coupé,Blue,Neu,CHF,,Zuzwil,CH,Ferrari,2015,200,kilometer,458,458 Italia 4.5 V8 Speciale,,car,,1,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,26800,kilometer,E 420,E 420 Elégance,,car,,6,l/100km
SUV,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2013,25100,kilometer,Ml 63 Amg,ML 63 AMG 4Matic,,car,,1,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1998,35000,kilometer,E 55 Amg,E 55 AMG Avantgarde,,car,,10,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1993,111000,kilometer,S 600,S 600,,car,,8,
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1998,166550,kilometer,Slk 230,SLK 230 Kompressor,,car,,7,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Lotus,2002,36700,kilometer,Esprit,Esprit 3.5 V8 SE,,car,,7,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Subaru,2006,161500,kilometer,Impreza,Impreza 2.5T WRX,,car,,4,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Aston Martin,1998,97200,kilometer,Db7,DB7,,car,,4,l/100km
Other,Other,Occasion,CHF,,Diesel,CH,Land Rover,2012,Automat sequentiell,kilometer,Range Rover,Range Rover 4.4TD Vogue,,car,,1,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,48000,kilometer,S 500,S 500,,car,,6,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Renault,1981,68900,kilometer,Alpine,Alpine A310 V6,,car,,5,
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2002,47600,kilometer,Rs6,RS6 Avant quattro,,car,,7,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Maserati,2004,62700,kilometer,Quattroporte,Quattroporte 4.2,,car,,6,l/100km
Other,Blue,Oldtimer,CHF,,Zuzwil,CH,Renault,1976,59800,kilometer,Alpine,A310 1600 VG,,car,,6,
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2002,39300,kilometer,Rs6,RS6 Avant quattro,,car,,8,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Ferrari,2005,8000,kilometer,F360,F360 Modena Berlinetta,,car,,3,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,75100,kilometer,Cl 500,CL 500,,car,,9,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Ferrari,2002,51200,kilometer,575M,575M,,car,,7,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Volvo,2001,27900,kilometer,C70,C70 T5,,car,,2,l/100km
Coupé,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2012,12100,kilometer,C 63 Amg,BLACK SERIES (Coupé),,car,,8,
SUV,Blue,Occasion,CHF,,Zuzwil,CH,Land Rover,1998,49700,kilometer,Range Rover,Range Rover 4.6 HSE,,car,,5,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Toyota,1971,53100,kilometer,Celica,1600 GT,,car,,8,
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Ferrari,1999,20700,kilometer,F360,F360 Modena Berlinetta,,car,,8,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Bmw-Alpina,1984,150200,kilometer,7 Series,B7 Turbo Coupé,,car,,4,
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,2400,kilometer,Slr,McLaren Roadster,,car,,6,
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Porsche,1985,47000,kilometer,924,924,,car,,5,
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2004,49000,kilometer,A8,A8  6.0 quattro,,car,,7,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2008,46000,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,7,l/100km
Coupé,Blue,Oldtimer,CHF,,Zuzwil,CH,Renault,1978,77300,kilometer,Alpine,Alpine A310 V6,,car,,6,
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,BMW,2002,142000,kilometer,M3,M3,,car,,3,l/100km
Other,Other,Occasion,CHF,,Zuzwil,CH,Bmw-Alpina,1999,146500,kilometer,3 Series,B8,,car,,1,
Other,Other,Occasion,CHF,,Benzin,CH,Mercedes-Benz,2003,Automat,kilometer,Sl 600,SL 600,,car,,5,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2001,37800,kilometer,Rs4,RS4 Avant quattro,,car,,2,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Mercedes-Benz,2002,Automat,kilometer,Clk 55 Amg,CLK 55 AMG Avantgarde,,car,,6,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,30500,kilometer,Slk 230,SLK 230 Kompressor,,car,,8,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Porsche,1996,139900,kilometer,911,911 Carrera 4S,,car,,3,l/100km
Other,Other,Occasion,CHF,,Zuzwil,CH,Mitsubishi,2003,35200,kilometer,Lancer,Lancer Evo VII,,car,,7,
Other,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,14100,kilometer,S 320,S 320,,car,,6,l/100km
Convertible / Roadster,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,23000,kilometer,Sl 600,SL 600,,car,,4,l/100km
Coupé,Other,Oldtimer,CHF,,Zuzwil,CH,Mercedes-Benz,1939,1,kilometer,,170V B Cabrio 136,,car,,7,
Other,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,128000,kilometer,S 500,S 500,,car,,11,l/100km
Other,Other,Occasion,CHF,,Zuzwil,CH,Audi,2008,25400,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,7,l/100km
Convertible / Roadster,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,47000,kilometer,Sl 55 Amg,SL 55 AMG,,car,,3,l/100km
Convertible / Roadster,Other,Neu,CHF,,Zuzwil,CH,Porsche,2014,450,kilometer,911,911 Turbo S Cabrio,,car,,5,l/100km
Convertible / Roadster,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1993,63600,kilometer,Sl 300,SL 300,,car,,6,
Other,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,99900,kilometer,S 500,S 500,,car,,5,l/100km
Other,Other,Occasion,CHF,,Zuzwil,CH,Audi,2004,60000,kilometer,A8,A8 4.2 quattro,,car,,4,l/100km
Coupé,Other,Occasion,CHF,,Zuzwil,CH,Fiat,1970,9999,kilometer,,850 Spider,,car,,8,
Coupé,Other,Occasion,CHF,,Zuzwil,CH,Ferrari,1999,30300,kilometer,F360,F360 Modena Berlinetta,,car,,8,l/100km
Other,Other,Occasion,CHF,,Zuzwil,CH,Bentley,1979,175100,kilometer,,T 2,,car,,2,
Other,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1997,67400,kilometer,E 55 Amg,E 55 AMG Avantgarde,,car,,10,l/100km
Convertible / Roadster,Other,Occasion,CHF,,Zuzwil,CH,BMW,2001,46000,kilometer,M3,M3,,car,,3,l/100km
Other,Other,Occasion,CHF,,Zuzwil,CH,Audi,1999,171700,kilometer,A6,A6 Avant 2.7 T q.Ambiente,,car,,9,l/100km
Other,Other,Occasion,CHF,,Zuzwil,CH,Audi,2003,27900,kilometer,Rs6,RS6 Avant quattro,,car,,7,l/100km
Coupé,Other,Occasion,CHF,,Zuzwil,CH,Ferrari,2005,29300,kilometer,F430,F430,,car,,6,l/100km
Other,Brown,Occasion,CHF,,Zuzwil,CH,Maserati,2008,80000,kilometer,Quattroporte,Quattroporte 4.2 Sport GT,,car,,4,l/100km
Convertible / Roadster,Brown,Occasion,CHF,,Zuzwil,CH,BMW,2008,22800,kilometer,Z4,Z4 2.5i Roadster,,car,,9,l/100km
Other,Brown,Occasion,CHF,,Zuzwil,CH,BMW,1998,33700,kilometer,328,328i,,car,,4,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Bentley,2006,Automat,kilometer,Continental,Continental FlyingSpur6.0,,car,,3,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Morgan,2006,Schaltgetriebe manuell,kilometer,4/4,4/4 1.8,,car,,6,l/100km
Convertible / Roadster,Yellow,Occasion,CHF,,Zuzwil,CH,Rolls-Royce,1987,19720,kilometer,Corniche,Cabrio,,car,,6,
Coupé,Yellow,Occasion,CHF,,Zuzwil,CH,Ferrari,1998,28100,kilometer,F355,F355 Berlinetta,,car,,3,l/100km
Other,Yellow,Occasion,CHF,,Zuzwil,CH,BMW,2005,3000,kilometer,M5,M5,,car,,4,l/100km
Other,Yellow,Occasion,CHF,,Zuzwil,CH,Daewoo,2003,103000,kilometer,Tacuma,Tacuma 2000i CDX,,car,,10,l/100km
Coupé,Other,Occasion,CHF,,Zuzwil,CH,Renault,1971,19200,kilometer,Alpine A110,1600S Gruppe 5 look,,car,,1,
Convertible / Roadster,Yellow,Occasion,CHF,,Zuzwil,CH,Porsche,2011,28000,kilometer,911,911 Turbo S Cabrio PDK,,car,,4,l/100km
Convertible / Roadster,Yellow,Occasion,CHF,,Zuzwil,CH,Porsche,1971,96000,kilometer,911,Targa,,car,,11,
Coupé,Yellow,Occasion,CHF,,Zuzwil,CH,Maserati,2000,64600,kilometer,3200 Gt,3200 GT,,car,,3,l/100km
Other,Yellow,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2001,42000,kilometer,S 400,S 400 CDI,,car,,4,l/100km
Coupé,Yellow,Occasion,CHF,,Zuzwil,CH,Ferrari,1999,49000,kilometer,456,456M GT,,car,,5,l/100km
Other,Yellow,Occasion,CHF,,Zuzwil,CH,Audi,2001,103100,kilometer,S6,S6 quattro,,car,,8,l/100km
Other,Yellow,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1991,89700,kilometer,190,190 E 2.5-16 Evo II ABS,,car,,7,
Other,Yellow,Occasion,CHF,,Zuzwil,CH,Mazda,2001,158000,kilometer,626,626 2.0i-16V HPV,,car,,8,l/100km
Other,Yellow,Oldtimer,CHF,,Safenwil,CH,Toyota,1985,58100,kilometer,Camry,2000 GLi Super Liftback,,car,,5,
SUV,Yellow,Occasion,CHF,,Zuzwil,CH,Porsche,2006,91600,kilometer,Cayenne,Cayenne Turbo S,,car,,9,l/100km
SUV,Other,Occasion,CHF,,Zuzwil,CH,Porsche,2003,121000,kilometer,Cayenne,Cayenne Turbo,,car,,3,l/100km
Convertible / Roadster,Yellow,Occasion,CHF,,Zuzwil,CH,Chrysler,1993,28600,kilometer,Viper,Viper RT/10,,car,,10,
Other,Yellow,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1999,128000,kilometer,S 320,S 320,,car,,4,l/100km
Coupé,Yellow,Occasion,CHF,,Zuzwil,CH,Toyota,1990,135800,kilometer,Mr2,MR2 2.0,,car,,12,
Coupé,Yellow,Occasion,CHF,,Zuzwil,CH,Ferrari,1989,31700,kilometer,Testar./512,Testarossa,,car,,1,
Coupé,Gold,Occasion,CHF,,Zuzwil,CH,Chevrolet,2010,13000,kilometer,Corvette,Corvette ZR1,,car,,2,l/100km
Convertible / Roadster,Gold,Occasion,CHF,,Zuzwil,CH,BMW,2008,78900,kilometer,M3,M3,,car,,7,l/100km
Coupé,Gold,Occasion,CHF,,Zuzwil,CH,Ruf,1990,46000,kilometer,,CTR,,car,,1,
Other,Gold,Occasion,CHF,,Zuzwil,CH,Renault,1985,59900,kilometer,R5,R5 Turbo 2,,car,,5,
Other,Gold,Occasion,CHF,,Zuzwil,CH,Daimler,1996,94800,kilometer,Xj,Six 4.0,,car,,1,
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Mazda,1989,67200,kilometer,Rx-7,RX-7 2.6 Turbo II,,car,,8,
Coupé,Other,Occasion,CHF,,Sursee,CH,Bugatti,2008,20000,kilometer,,Veyron 16.4,,car,,7,
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2001,25900,kilometer,911,911 Turbo,,car,,10,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2005,20400,kilometer,911,911 Carrera Cabrio,,car,,6,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,54500,kilometer,S 500,S 500 L 4Matic,,car,,12,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Bugatti,1998,4000,kilometer,Eb,110 GT/SS,,car,,8,
Other,Gray,Occasion,CHF,,Zuzwil,CH,Audi,2008,41900,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,10,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Ferrari,2003,8100,kilometer,575M,575M,,car,,12,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Audi,2003,39000,kilometer,Rs6,RS6 Avant quattro,,car,,1,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Jaguar,2002,32900,kilometer,S-Type,S-Type 4.2 V8 S/C R,,car,,7,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Maserati,2002,63000,kilometer,Spyder Gt,Spyder GT,,car,,5,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2002,61800,kilometer,911,911 Carrera Targa,,car,,5,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Audi,2008,Automat sequentiell,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,6,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Ferrari,1997,41000,kilometer,F355,F355 GTS,,car,,10,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Maserati,2006,46050,kilometer,Quattroporte,Quattroporte 4.2,,car,,6,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,83900,kilometer,E 320,E 320 Elégance 4-Matic,,car,,3,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Jaguar,1998,99800,kilometer,Xk,XK8 Convertible,,car,,7,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Chevrolet,1981,27700,kilometer,Corvette,null,,car,,1,
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Maserati,2002,88500,kilometer,Spyder Gt,Spyder GT,,car,,6,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Ferrari,2002,16600,kilometer,F360,F360 Spider,,car,,9,l/100km
Other,Gray,Oldtimer,CHF,,Zuzwil,CH,Renault,1982,124500,kilometer,R5,R5 1400 Alpine Turbo,,car,,7,
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Ferrari,2006,15900,kilometer,575M,575M,,car,,12,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Lancia,1992,155000,kilometer,Delta,Delta HF Integrale Evo,,car,,2,
Convertible / Roadster,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1994,48700,kilometer,Sl 600,SL 600,,car,,7,
Other,Gray,Occasion,CHF,,Zuzwil,CH,Bentley,2005,145000,kilometer,Arnage,Arnage R,,car,,4,l/100km
Coupé,Gray,Neu,CHF,,Zuzwil,CH,Mercedes-Benz,2005,165,kilometer,Cl 500,CL 500,,car,,1,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1998,47400,kilometer,E 55 Amg,E 55 AMG Avantgarde,,car,,3,l/100km
SUV,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2003,68700,kilometer,Cayenne,Cayenne Turbo,,car,,6,l/100km
SUV,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2008,28000,kilometer,Cayenne,Cayenne Turbo,,car,,8,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,20000,kilometer,Sl 600,SL 600,,car,,3,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Audi,2008,24600,kilometer,Rs6,RS6 Avant 5.0 V10 quattro MTM,,car,,9,l/100km
Convertible / Roadster,Gray,Oldtimer,CHF,,Safenwil,CH,Austin-Healey,1959,16900,kilometer,,100/Six BN6 Roadster,,car,,1,
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Ruf,1997,20900,kilometer,,CTR 2 Sport,,car,,10,
Other,Other,Occasion,CHF,,Benzin,CH,Porsche,2002,Schaltgetriebe manuell,kilometer,911,911 Turbo,,car,,6,l/100km
Other,Other,Occasion,CHF,,Zuzwil,CH,Bentley,1990,112500,kilometer,Turbo,Turbo R,,car,,4,
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2006,29500,kilometer,911,911 Carrera S Cabrio,,car,,3,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,BMW,2011,76500,kilometer,535,535i Touring,,car,,7,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2003,63300,kilometer,911,911 Turbo,,car,,9,l/100km
SUV,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2004,31000,kilometer,Cayenne,Cayenne Turbo,,car,,9,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Toyota,1983,158000,kilometer,Celica,Celica 2800 i Supra,,car,,3,
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,1996,88100,kilometer,911,911 Turbo,,car,,5,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Renault,1977,41400,kilometer,Alpine A110,1600 SX,,car,,6,
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,105300,kilometer,Sl 350,SL 350,,car,,5,l/100km
SUV,Gray,Occasion,CHF,,Zuzwil,CH,Land Rover,1996,54600,kilometer,Range Rover,Range Rover 4.6 HSE,,car,,12,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2010,47500,kilometer,Panamera,Panamera Turbo 4.8,,car,,1,l/100km
Convertible / Roadster,Other,Occasion,CHF,,Zuzwil,CH,Porsche,1998,89500,kilometer,911,911 Carrera,,car,,7,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Audi,2009,59900,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,3,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,BMW,1998,85800,kilometer,540,540i Touring,,car,,1,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Maserati,2003,50300,kilometer,Spyder Gt,Spyder GT,,car,,6,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Maserati,2002,114800,kilometer,Coupé Gt,Coupé GT,,car,,6,l/100km
Other,Other,Neu,CHF,,Benzin,CH,Lamborghini,2015,Automatisiertes Schaltgetriebe,kilometer,Huracan,Huracan LP610-4 Coupé,,car,,7,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Aston Martin,1991,68800,kilometer,Virage,Virage,,car,,4,
Other,Gray,Occasion,CHF,,Zuzwil,CH,Fiat,2004,75200,kilometer,Punto,Punto 1.8 16V HGT,,car,,5,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Audi,2003,Automat sequentiell,kilometer,Rs6,RS6 Avant quattro,,car,,4,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Audi,2002,Automat sequentiell,kilometer,Rs6,RS6 Avant quattro,,car,,8,l/100km
SUV,Gray,Occasion,CHF,,Zuzwil,CH,BMW,2001,113000,kilometer,X5,X5 4.4i,,car,,1,l/100km
Other,Other,Occasion,CHF,,Zuzwil,CH,Giottiline,2014,200,kilometer,,Therry T22,,car,,4,
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Ferrari,2008,37000,kilometer,612,612,,car,,2,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Audi,2008,Automat sequentiell,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,6,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2000,69200,kilometer,911,911 Turbo,,car,,7,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2001,205500,kilometer,S 55 Amg,S 55 AMG,,car,,7,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Audi,2007,65000,kilometer,R8,R8 Coupé 4.2,,car,,6,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,36000,kilometer,Clk 63 Amg,CLK 63 AMG Black Series,,car,,7,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Bentley,2007,58000,kilometer,Continental,Continental GTC 6.0,,car,,2,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Audi,2004,93500,kilometer,Rs6,RS6 Avant quattro,,car,,1,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Ferrari,1997,62000,kilometer,F550,F550 Maranello,,car,,5,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Aston Martin,2012,5000,kilometer,Dbs,DBS Coupé,,car,,4,l/100km
Other,Other,Occasion,CHF,,Zuzwil,CH,Audi,2002,38500,kilometer,Rs6,RS6 Avant quattro,,car,,10,l/100km
Convertible / Roadster,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1998,48300,kilometer,Sl 500,SL 500,,car,,4,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1999,112800,kilometer,S 500,S 500,,car,,9,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1994,206000,kilometer,E 500,E 500 Limited,,car,,6,
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,19800,kilometer,Cl 65 Amg,CL 65 AMG,,car,,1,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,55200,kilometer,Sl 500,SL 500 Special Edition,,car,,4,
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Lamborghini,2009,24000,kilometer,Gallardo,Gallardo LP560-4 Coupé,,car,,1,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2007,68900,kilometer,Boxster,Boxster S 3.4,,car,,2,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,VW,2003,119000,kilometer,Phaeton,Phaeton 4.2 V8 4Motion,,car,,11,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Ferrari,2004,45000,kilometer,612,612,,car,,7,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Audi,2008,14000,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,6,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2001,135800,kilometer,911,911 Carrera,,car,,4,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Porsche,2001,Schaltgetriebe manuell,kilometer,911,911 Turbo,,car,,11,l/100km
Other,Gray,Oldtimer,CHF,,Zuzwil,CH,Renault,1969,45000,kilometer,,R8 Gordini,,car,,4,
Other,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1999,32700,kilometer,S 500,S 500 L,,car,,5,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,BMW,1997,82500,kilometer,323,323i Sport Edition,,car,,7,l/100km
